白马金鞍从武皇，旌旗十万宿长杨。  ──王昌龄《青楼曲二首》
床空委清尘，室虚来悲风。  ──潘安《悼亡诗三首》
新竹高于旧竹枝，全凭老干为扶持。  ──郑燮《新竹》
可怜赤壁争雄渡，唯有蓑翁坐钓鱼。  ──杜牧《齐安郡晚秋》
虚空落泉千仞直，雷奔入江不暂息。  ──徐凝《庐山瀑布》
翠娥执手送临歧，轧轧开朱户。  ──柳永《采莲令·月华收》
同是天涯沦落人，相逢何必曾相识！  ──白居易《琵琶行 / 琵琶引》
白鸟一双临水立，见人惊起入芦花。  ──戴复古《江村晚眺》
黄河远上白云间，一片孤城万仞山。  ──王之涣《凉州词二首·其一》
啼莺舞燕，小桥流水飞红。  ──白朴《天净沙·春》
唤起封姨清晚景，更将荔子荐新圆。  ──张孝祥《浣溪沙·中秋坐上十八客》
三春白雪归青冢，万里黄河绕黑山。  ──柳中庸《征人怨 / 征怨》
澹月梨花，借梦来、花边廊庑。  ──史达祖《解佩令·人行花坞》
梅花大庾岭头发，柳絮章台街里飞。  ──李商隐《对雪二首》
思君如满月，夜夜减清辉。  ──张九龄《赋得自君之出矣》
还怕两人俱薄命，再缘悭、剩月零风里。  ──纳兰性德《金缕曲·亡妇忌日有感》
醉卧沙场君莫笑，古来征战几人回？  ──王翰《凉州词二首·其一》
一月可曾闲几日，百年难得闰中秋。  ──慧霖《闰中秋玩月》
鸡声茅店月，人迹板桥霜。  ──温庭筠《商山早行》
斜日更穿帘幕，微凉渐入梧桐。  ──晏殊《破阵子·燕子欲归时节》
庭下如积水空明，水中藻、荇交横，盖竹柏影也。  ──苏轼《记承天寺夜游 / 记承天夜游》
人间万事，毫发常重泰山轻。  ──辛弃疾《水调歌头·壬子三山被召陈端仁给事饮饯席上作》
每圆处即良宵，甚此夕偏饶，对歌临怨。  ──吴文英《玉漏迟·瓜泾度中秋夕赋》
对菱花、与说相思，看谁瘦损。  ──陆叡《瑞鹤仙·梅》
遮莫圆明似前度，不知谁续广寒游。  ──慧霖《闰中秋玩月》
野店垂杨步，荒祠苦竹丛。  ──范成大《寒食郊行书事》
白云江上故乡，月下风前吟处。  ──子兰《秋日思旧山》
思尔为雏日，高飞背母时。  ──白居易《燕诗示刘叟》
日夕北风紧，寒林噤暮鸦。  ──大须《暮雪》
万条千缕绿相迎。舞烟眠雨过清明。  ──晏几道《浣溪沙·二月和风到碧城》
屈子冤魂终古在，楚乡遗俗至今留。  ──边贡《午日观竞渡》
云中谁寄锦书来，雁字回时，月满西楼。  ──李清照《一剪梅·红藕香残玉簟秋》
时见幽人独往来，缥缈孤鸿影。  ──苏轼《卜算子·黄州定慧院寓居作》
子胥既弃吴江上，屈原终投湘水滨。  ──李白《行路难三首》
泰山不要欺毫末，颜子无心羡老彭。  ──白居易《放言五首·其五》
夜战桑乾北，秦兵半不归。  ──许浑《塞下曲》
落日塞尘起，胡骑猎清秋。  ──辛弃疾《水调歌头·舟次扬州和人韵》
昼夜蔽日月，冬夏共霜雪。  ──谢灵运《登庐山绝顶望诸峤》
孤之有孔明，犹鱼之有水也。  ──陈寿《隆中对》
百战沙场碎铁衣，城南已合数重围。  ──李白《从军行》
波上马嘶看棹去，柳边人歇待船归。  ──温庭筠《利州南渡》
民感桑林雨，云施李靖龙。  ──赵汝愚《雨后送李将军还祠偕同寅饮一杯亭》
清水出芙蓉，天然去雕饰。  ──李白《经乱离后天恩流夜郎忆旧游书怀赠江夏韦太守良宰》
红树青山日欲斜，长郊草色绿无涯。  ──欧阳修《丰乐亭游春·其三》
我来圯桥上，怀古钦英风。  ──李白《经下邳圯桥怀张子房》
黄昏庭院柳啼鸦，记得那人，和月折梨花。  ──陈亮《虞美人·东风荡飏轻云缕》
不才明主弃，多病故人疏。  ──孟浩然《岁暮归南山 / 归故园作 / 归终南山》
去年相送，馀杭门外，飞雪似杨花。  ──苏轼《少年游·润州作》
愿天上人间，占得欢娱，年年今夜。  ──柳永《二郎神·炎光谢》
林深藏却云门寺，回首若耶溪。  ──张可久《人月圆·会稽怀古》
柳外轻雷池上雨，雨声滴碎荷声。小楼西角断虹明。  ──欧阳修《临江仙·柳外轻雷池上雨》
千家闭户无砧杵，七夕何人望斗牛。  ──李嘉祐《早秋京口旅泊章侍御寄书相问因以赠之时七夕》
